Agent,Pair,k,Jaccard,Spearman_full_rho,RBO_p09
DQN,EASY-MEDIUM,10,1.0,1.0,0.583
DQN,EASY-MEDIUM,20,1.0,1.0,0.81
DQN,EASY-MEDIUM,50,1.0,1.0,0.927
DQN,MEDIUM-HARD,10,1.0,1.0,0.651
DQN,MEDIUM-HARD,20,1.0,1.0,0.878
DQN,MEDIUM-HARD,50,1.0,1.0,0.995
DQN,EASY-HARD,10,1.0,1.0,0.583
DQN,EASY-HARD,20,1.0,1.0,0.81
DQN,EASY-HARD,50,1.0,1.0,0.927
A2C_mod,EASY-MEDIUM,10,0.667,0.207,0.639
A2C_mod,EASY-MEDIUM,20,0.29,0.207,0.775
A2C_mod,EASY-MEDIUM,50,0.124,0.207,0.816
A2C_mod,MEDIUM-HARD,10,0.667,-0.008,0.494
A2C_mod,MEDIUM-HARD,20,0.29,-0.008,0.623
A2C_mod,MEDIUM-HARD,50,0.124,-0.008,0.663
A2C_mod,EASY-HARD,10,0.667,0.22,0.494
A2C_mod,EASY-HARD,20,0.333,0.22,0.624
A2C_mod,EASY-HARD,50,0.351,0.22,0.691
