SKU_ID,MeanDemand,StdDemand,CV,MaxDemand,Capacity,Utilization,MaxSHAP_sales,MaxSHAP_inventory,MaxSHAP_waste,GroupDominant
64,0.66,0.97,1.46,6,7,0.095,0.0028083001613618,0.0007993496743913,0.0007993496743913,sales
163,1.22,1.55,1.27,11,12,0.102,0.0027792632191308,0.0007993496743913,0.0007993496743913,sales
100,6.25,5.5,0.88,32,59,0.106,0.0026248988577297,0.0007993496743913,0.0007993496743913,sales
46,2.82,3.2,1.13,22,28,0.101,0.0025813035488128,0.0007993496743913,0.0007993496743913,sales
155,1.6,1.84,1.15,12,15,0.106,0.0025310471272669,0.0007993496743913,0.0007993496743913,sales
43,2.73,2.87,1.05,22,28,0.098,0.0025198160443987,0.0007993496743913,0.0007993496743913,sales
118,0.87,1.12,1.29,6,8,0.109,0.0024150223348822,0.0007993496743913,0.0007993496743913,sales
215,8.68,8.22,0.95,50,81,0.107,0.0018970036947301,0.0007993496743913,0.0007993496743913,sales
6,2.11,3.01,1.42,20,18,0.117,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
5,1.71,1.88,1.1,11,18,0.095,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
4,0.63,0.96,1.53,6,6,0.104,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
0,0.32,0.63,1.94,4,4,0.081,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
14,3.15,3.18,1.01,19,30,0.105,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
13,0.29,0.58,2.02,4,4,0.072,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
12,0.86,1.18,1.36,7,9,0.096,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
7,1.45,1.68,1.16,9,14,0.104,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
11,0.35,0.67,1.9,5,4,0.088,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
8,1.43,1.56,1.09,10,14,0.102,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
9,1.79,2.04,1.14,15,18,0.1,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
10,1.81,2.02,1.12,11,18,0.101,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
50,2.9,2.91,1.0,19,28,0.104,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
48,1.21,1.56,1.29,10,11,0.11,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
47,0.43,0.79,1.86,8,4,0.107,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
15,0.39,0.7,1.81,3,4,0.097,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
23,0.35,0.66,1.87,4,4,0.088,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
156,1.27,1.69,1.33,11,12,0.106,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
168,1.48,1.75,1.18,13,15,0.099,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
167,0.77,1.05,1.36,7,8,0.096,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
180,0.7,1.01,1.44,6,7,0.1,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
182,0.62,0.98,1.6,6,6,0.103,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
186,0.39,0.74,1.88,5,4,0.098,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
183,0.72,1.01,1.4,5,8,0.09,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
211,0.9,1.32,1.47,11,9,0.1,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
212,1.53,1.84,1.2,11,15,0.102,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
218,4.53,4.37,0.96,28,44,0.103,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
219,1.28,1.69,1.31,15,12,0.107,0.0007993496743913,0.0007993496743913,0.0007993496743913,sales
