Agent,Scenario,Rank,FeatureName,MacroGroup,SKU_ID,MeanAbsSHAP
DQN,EASY,1,sales_SKU64,sales,64,0.0028083001613618
DQN,EASY,2,sales_SKU163,sales,163,0.0027792632191308
DQN,EASY,3,sales_SKU100,sales,100,0.0026248988577297
DQN,EASY,4,sales_SKU46,sales,46,0.0025813035488128
DQN,EASY,5,sales_SKU155,sales,155,0.0025310471272669
DQN,EASY,6,sales_SKU43,sales,43,0.0025198160443987
DQN,EASY,7,sales_SKU118,sales,118,0.0024150223348822
DQN,EASY,8,sales_SKU215,sales,215,0.0018970036947301
DQN,EASY,9,inventory_SKU0,inventory,0,0.0007993496743913
DQN,EASY,10,inventory_SKU5,inventory,5,0.0007993496743913
DQN,EASY,11,inventory_SKU6,inventory,6,0.0007993496743913
DQN,EASY,12,inventory_SKU7,inventory,7,0.0007993496743913
DQN,EASY,13,inventory_SKU8,inventory,8,0.0007993496743913
DQN,EASY,14,inventory_SKU9,inventory,9,0.0007993496743913
DQN,EASY,15,inventory_SKU10,inventory,10,0.0007993496743913
DQN,EASY,16,inventory_SKU11,inventory,11,0.0007993496743913
DQN,EASY,17,inventory_SKU12,inventory,12,0.0007993496743913
DQN,EASY,18,inventory_SKU13,inventory,13,0.0007993496743913
DQN,EASY,19,inventory_SKU14,inventory,14,0.0007993496743913
DQN,EASY,20,inventory_SKU15,inventory,15,0.0007993496743913
DQN,MEDIUM,1,sales_SKU64,sales,64,0.0027443784986224
DQN,MEDIUM,2,sales_SKU163,sales,163,0.002607857930128
DQN,MEDIUM,3,sales_SKU46,sales,46,0.00244072802748
DQN,MEDIUM,4,sales_SKU155,sales,155,0.0024181232889396
DQN,MEDIUM,5,sales_SKU118,sales,118,0.0023356568796294
DQN,MEDIUM,6,sales_SKU43,sales,43,0.0021515649284635
DQN,MEDIUM,7,sales_SKU100,sales,100,0.002133837340985
DQN,MEDIUM,8,sales_SKU215,sales,215,0.0017698169825332
DQN,MEDIUM,9,inventory_SKU0,inventory,0,0.0007643867505393
DQN,MEDIUM,10,inventory_SKU5,inventory,5,0.0007643867505393
DQN,MEDIUM,11,inventory_SKU6,inventory,6,0.0007643867505393
DQN,MEDIUM,12,inventory_SKU7,inventory,7,0.0007643867505393
DQN,MEDIUM,13,inventory_SKU8,inventory,8,0.0007643867505393
DQN,MEDIUM,14,inventory_SKU9,inventory,9,0.0007643867505393
DQN,MEDIUM,15,inventory_SKU10,inventory,10,0.0007643867505393
DQN,MEDIUM,16,inventory_SKU11,inventory,11,0.0007643867505393
DQN,MEDIUM,17,inventory_SKU12,inventory,12,0.0007643867505393
DQN,MEDIUM,18,inventory_SKU13,inventory,13,0.0007643867505393
DQN,MEDIUM,19,inventory_SKU14,inventory,14,0.0007643867505393
DQN,MEDIUM,20,inventory_SKU15,inventory,15,0.0007643867505393
DQN,HARD,1,sales_SKU64,sales,64,0.0025304189886366
DQN,HARD,2,sales_SKU163,sales,163,0.0024670546261327
DQN,HARD,3,sales_SKU46,sales,46,0.0023140465463911
DQN,HARD,4,sales_SKU155,sales,155,0.002288960682274
DQN,HARD,5,sales_SKU118,sales,118,0.0022562945144517
DQN,HARD,6,sales_SKU43,sales,43,0.0019019907287189
DQN,HARD,7,sales_SKU100,sales,100,0.0018369224642004
DQN,HARD,8,sales_SKU215,sales,215,0.0016357809792671
DQN,HARD,9,inventory_SKU0,inventory,0,0.0007306368246314
DQN,HARD,10,inventory_SKU5,inventory,5,0.0007306368246314
DQN,HARD,11,inventory_SKU6,inventory,6,0.0007306368246314
DQN,HARD,12,inventory_SKU7,inventory,7,0.0007306368246314
DQN,HARD,13,inventory_SKU8,inventory,8,0.0007306368246314
DQN,HARD,14,inventory_SKU9,inventory,9,0.0007306368246314
DQN,HARD,15,inventory_SKU10,inventory,10,0.0007306368246314
