Agent,Scenario,n_states,Target,Rank,FeatureName,MacroGroup,SKU_ID,MeanAbsSHAP
DQN,EASY,10,logits,1,sales_SKU175,sales,175,0.0017866220111462676
DQN,EASY,10,logits,2,sales_SKU90,sales,90,0.0015730060029953642
DQN,EASY,10,logits,3,sales_SKU164,sales,164,0.0013964869770139803
DQN,EASY,10,logits,4,sales_SKU119,sales,119,0.0013341717641890912
DQN,EASY,10,logits,5,sales_SKU157,sales,157,0.0012745932843024935
DQN,EASY,10,logits,6,sales_SKU93,sales,93,0.0011997924053919944
DQN,EASY,10,logits,7,sales_SKU108,sales,108,0.001145386240430598
DQN,EASY,10,logits,8,sales_SKU71,sales,71,0.0008286642973450498
DQN,EASY,10,logits,9,inventory_SKU31,inventory,31,0.00040665287829856264
DQN,EASY,10,logits,10,inventory_SKU87,inventory,87,0.00040665287829856264
DQN,EASY,10,logits,11,waste_feat_SKU148,waste_feat,148,0.00040665287829856264
DQN,EASY,10,logits,12,waste_feat_SKU31,waste_feat,31,0.00040665287829856264
DQN,EASY,10,logits,13,waste_feat_SKU87,waste_feat,87,0.00040665287829856264
DQN,EASY,10,logits,14,inventory_SKU148,inventory,148,0.00040665287829856264
DQN,EASY,10,logits,15,sales_SKU69,sales,69,0.00040665287829856264
DQN,EASY,10,logits,16,sales_SKU68,sales,68,0.00040665287829856264
DQN,EASY,10,logits,17,waste_feat_SKU6,waste_feat,6,0.0004066528782985626
DQN,EASY,10,logits,18,inventory_SKU124,inventory,124,0.0004066528782985626
DQN,EASY,10,logits,19,sales_SKU113,sales,113,0.0004066528782985626
DQN,EASY,10,logits,20,sales_SKU101,sales,101,0.0004066528782985626
A2C_mod,EASY,10,logits,1,sales_SKU93,sales,93,0.46024217110188165
A2C_mod,EASY,10,logits,2,sales_SKU119,sales,119,0.4419888422183686
A2C_mod,EASY,10,logits,3,sales_SKU108,sales,108,0.44148209478046724
A2C_mod,EASY,10,logits,4,sales_SKU175,sales,175,0.42454904197193805
A2C_mod,EASY,10,logits,5,sales_SKU71,sales,71,0.36240442512538573
A2C_mod,EASY,10,logits,6,sales_SKU90,sales,90,0.3501433117134565
A2C_mod,EASY,10,logits,7,sales_SKU164,sales,164,0.34826135138705394
A2C_mod,EASY,10,logits,8,sales_SKU157,sales,157,0.3329972393482582
A2C_mod,EASY,10,logits,9,sales_SKU102,sales,102,0.1268563073471248
A2C_mod,EASY,10,logits,10,inventory_SKU163,inventory,163,0.1268563073471248
A2C_mod,EASY,10,logits,11,waste_feat_SKU17,waste_feat,17,0.1268563073471248
A2C_mod,EASY,10,logits,12,waste_feat_SKU191,waste_feat,191,0.1268563073471248
A2C_mod,EASY,10,logits,13,waste_feat_SKU119,waste_feat,119,0.1268563073471248
A2C_mod,EASY,10,logits,14,sales_SKU32,sales,32,0.1268563073471248
A2C_mod,EASY,10,logits,15,inventory_SKU161,inventory,161,0.1268563073471248
A2C_mod,EASY,10,logits,16,inventory_SKU135,inventory,135,0.1268563073471248
A2C_mod,EASY,10,logits,17,sales_SKU57,sales,57,0.1268563073471248
A2C_mod,EASY,10,logits,18,waste_feat_SKU135,waste_feat,135,0.1268563073471248
A2C_mod,EASY,10,logits,19,waste_feat_SKU178,waste_feat,178,0.1268563073471248
A2C_mod,EASY,10,logits,20,waste_feat_SKU163,waste_feat,163,0.1268563073471248
DQN,EASY,20,logits,1,sales_SKU175,sales,175,0.001772204374032326
DQN,EASY,20,logits,2,sales_SKU90,sales,90,0.001573003425272218
DQN,EASY,20,logits,3,sales_SKU164,sales,164,0.001413113270708011
DQN,EASY,20,logits,4,sales_SKU119,sales,119,0.0013236410168109719
DQN,EASY,20,logits,5,sales_SKU157,sales,157,0.0012844026489050992
DQN,EASY,20,logits,6,sales_SKU93,sales,93,0.001196671256839199
DQN,EASY,20,logits,7,sales_SKU108,sales,108,0.0011421210259209363
DQN,EASY,20,logits,8,sales_SKU71,sales,71,0.0008521900162912561
DQN,EASY,20,logits,9,waste_feat_SKU49,waste_feat,49,0.00040498688800899774
DQN,EASY,20,logits,10,inventory_SKU123,inventory,123,0.00040498688800899774
DQN,EASY,20,logits,11,sales_SKU18,sales,18,0.00040498688800899774
DQN,EASY,20,logits,12,sales_SKU17,sales,17,0.00040498688800899774
DQN,EASY,20,logits,13,inventory_SKU126,inventory,126,0.00040498688800899774
DQN,EASY,20,logits,14,inventory_SKU128,inventory,128,0.00040498688800899774
DQN,EASY,20,logits,15,inventory_SKU129,inventory,129,0.00040498688800899774
DQN,EASY,20,logits,16,inventory_SKU131,inventory,131,0.00040498688800899774
DQN,EASY,20,logits,17,inventory_SKU132,inventory,132,0.00040498688800899774
DQN,EASY,20,logits,18,sales_SKU142,sales,142,0.00040498688800899774
DQN,EASY,20,logits,19,inventory_SKU141,inventory,141,0.00040498688800899774
DQN,EASY,20,logits,20,waste_feat_SKU37,waste_feat,37,0.00040498688800899774
A2C_mod,EASY,20,logits,1,sales_SKU93,sales,93,0.45168000370826056
A2C_mod,EASY,20,logits,2,sales_SKU90,sales,90,0.43875598323507925
A2C_mod,EASY,20,logits,3,sales_SKU119,sales,119,0.4354611691495305
A2C_mod,EASY,20,logits,4,sales_SKU108,sales,108,0.4348256337986706
A2C_mod,EASY,20,logits,5,sales_SKU157,sales,157,0.4011449651837673
A2C_mod,EASY,20,logits,6,sales_SKU175,sales,175,0.38615082670281753
A2C_mod,EASY,20,logits,7,sales_SKU71,sales,71,0.37893925021670377
A2C_mod,EASY,20,logits,8,sales_SKU164,sales,164,0.3641402497603158
A2C_mod,EASY,20,logits,9,sales_SKU167,sales,167,0.12621774008927267
A2C_mod,EASY,20,logits,10,sales_SKU144,sales,144,0.12621774008927267
A2C_mod,EASY,20,logits,11,inventory_SKU122,inventory,122,0.12621774008927267
A2C_mod,EASY,20,logits,12,sales_SKU146,sales,146,0.12621774008927267
A2C_mod,EASY,20,logits,13,sales_SKU148,sales,148,0.12621774008927267
A2C_mod,EASY,20,logits,14,sales_SKU149,sales,149,0.12621774008927267
A2C_mod,EASY,20,logits,15,sales_SKU150,sales,150,0.12621774008927267
A2C_mod,EASY,20,logits,16,sales_SKU151,sales,151,0.12621774008927267
A2C_mod,EASY,20,logits,17,inventory_SKU120,inventory,120,0.12621774008927267
A2C_mod,EASY,20,logits,18,inventory_SKU119,inventory,119,0.12621774008927267
A2C_mod,EASY,20,logits,19,sales_SKU165,sales,165,0.12621774008927267
