Agent,Scenario,Pair,k,Jaccard,Spearman,RBO_p09
DQN,EASY,10-20,20,0.25,0.85,0.767
DQN,EASY,20-50,20,0.25,0.85,0.767
DQN,EASY,10-50,20,0.25,0.85,0.767
DQN,MEDIUM,10-20,20,0.25,0.85,0.74
DQN,MEDIUM,20-50,20,0.25,0.85,0.722
DQN,MEDIUM,10-50,20,0.29,0.85,0.699
DQN,HARD,10-20,20,0.333,0.85,0.769
DQN,HARD,20-50,20,0.25,0.85,0.74
DQN,HARD,10-50,20,0.25,0.85,0.74
A2C_mod,EASY,10-20,20,0.25,0.85,0.633
A2C_mod,EASY,20-50,20,0.25,0.85,0.654
A2C_mod,EASY,10-50,20,0.333,0.85,0.637
A2C_mod,MEDIUM,10-20,20,0.25,0.85,0.564
A2C_mod,MEDIUM,20-50,20,0.25,0.85,0.65
A2C_mod,MEDIUM,10-50,20,0.25,0.85,0.582
A2C_mod,HARD,10-20,20,0.25,0.85,0.537
A2C_mod,HARD,20-50,20,0.25,0.85,0.564
A2C_mod,HARD,10-50,20,0.29,0.85,0.579
