Agent,Scenario,n_states,Target,Rank,FeatureName,MacroGroup,SKU_ID,MeanAbsSHAP
A2C_mod,EASY,10,logits,1,sales_SKU163,sales,163,0.0006560660213299208
A2C_mod,EASY,10,logits,2,sales_SKU155,sales,155,0.0006524446946791168
A2C_mod,EASY,10,logits,3,sales_SKU64,sales,64,0.0006120264222143034
A2C_mod,EASY,10,logits,4,sales_SKU46,sales,46,0.0005983413026872342
A2C_mod,EASY,10,logits,5,sales_SKU118,sales,118,0.00040930337723850565
A2C_mod,EASY,10,logits,6,sales_SKU215,sales,215,0.0003175630298062103
A2C_mod,EASY,10,logits,7,sales_SKU100,sales,100,0.00026755928535976897
A2C_mod,EASY,10,logits,8,sales_SKU43,sales,43,0.0002499568207494374
A2C_mod,EASY,10,logits,9,inventory_SKU11,inventory,11,0.00018786798549267784
A2C_mod,EASY,10,logits,10,inventory_SKU14,inventory,14,0.00017622989431671416
A2C_mod,EASY,10,logits,11,inventory_SKU8,inventory,8,0.00016865767724105228
A2C_mod,EASY,10,logits,12,inventory_SKU13,inventory,13,0.00016115807718289346
A2C_mod,EASY,10,logits,13,inventory_SKU9,inventory,9,0.00016044311250576688
A2C_mod,EASY,10,logits,14,inventory_SKU6,inventory,6,0.0001583888892864681
A2C_mod,EASY,10,logits,15,inventory_SKU15,inventory,15,0.00015283998726735486
A2C_mod,EASY,10,logits,16,inventory_SKU0,inventory,0,0.0001476549791095574
A2C_mod,EASY,10,logits,17,inventory_SKU5,inventory,5,0.00014288336855465384
A2C_mod,EASY,10,logits,18,inventory_SKU7,inventory,7,0.0001409529891026113
A2C_mod,EASY,10,logits,19,inventory_SKU10,inventory,10,0.00013447730736873418
A2C_mod,EASY,10,logits,20,inventory_SKU12,inventory,12,0.00013185146255741798
A2C_mod,EASY,20,logits,1,sales_SKU155,sales,155,0.0006535922473677235
A2C_mod,EASY,20,logits,2,sales_SKU163,sales,163,0.0006485530348662869
A2C_mod,EASY,20,logits,3,sales_SKU64,sales,64,0.0006356165902042744
A2C_mod,EASY,20,logits,4,sales_SKU46,sales,46,0.0006045547482977515
A2C_mod,EASY,20,logits,5,sales_SKU118,sales,118,0.0003898029322780557
A2C_mod,EASY,20,logits,6,sales_SKU215,sales,215,0.00030850181823049554
A2C_mod,EASY,20,logits,7,sales_SKU43,sales,43,0.00023380877248546056
A2C_mod,EASY,20,logits,8,sales_SKU100,sales,100,0.00022684013937258825
A2C_mod,EASY,20,logits,9,inventory_SKU5,inventory,5,0.0001901690044682166
A2C_mod,EASY,20,logits,10,inventory_SKU14,inventory,14,0.00018889725889672146
A2C_mod,EASY,20,logits,11,inventory_SKU13,inventory,13,0.00016564521657717448
A2C_mod,EASY,20,logits,12,inventory_SKU6,inventory,6,0.00016509213962400212
A2C_mod,EASY,20,logits,13,inventory_SKU12,inventory,12,0.00015957659153083674
A2C_mod,EASY,20,logits,14,inventory_SKU0,inventory,0,0.00015903630405565054
A2C_mod,EASY,20,logits,15,inventory_SKU9,inventory,9,0.00014784524893897834
A2C_mod,EASY,20,logits,16,inventory_SKU15,inventory,15,0.00013845752925676098
A2C_mod,EASY,20,logits,17,inventory_SKU7,inventory,7,0.00013107380479440554
A2C_mod,EASY,20,logits,18,inventory_SKU8,inventory,8,0.00012358343783522448
A2C_mod,EASY,20,logits,19,inventory_SKU11,inventory,11,0.00012188493043898661
A2C_mod,EASY,20,logits,20,inventory_SKU10,inventory,10,0.00011616927425977329
A2C_mod,EASY,50,logits,1,sales_SKU163,sales,163,0.0006824019141769923
A2C_mod,EASY,50,logits,2,sales_SKU46,sales,46,0.0006415435947138359
A2C_mod,EASY,50,logits,3,sales_SKU64,sales,64,0.0006377977484163934
A2C_mod,EASY,50,logits,4,sales_SKU155,sales,155,0.0006325596598648453
A2C_mod,EASY,50,logits,5,sales_SKU118,sales,118,0.0004402472657540303
A2C_mod,EASY,50,logits,6,sales_SKU215,sales,215,0.0003159180915779488
A2C_mod,EASY,50,logits,7,sales_SKU100,sales,100,0.0002465602304554157
A2C_mod,EASY,50,logits,8,sales_SKU43,sales,43,0.00021915314240587158
A2C_mod,EASY,50,logits,9,inventory_SKU0,inventory,0,0.00017020090021721568
A2C_mod,EASY,50,logits,10,inventory_SKU10,inventory,10,0.00016650490410853686
A2C_mod,EASY,50,logits,11,inventory_SKU12,inventory,12,0.00016553158435702632
A2C_mod,EASY,50,logits,12,inventory_SKU15,inventory,15,0.00016525068926575627
A2C_mod,EASY,50,logits,13,inventory_SKU5,inventory,5,0.00016039925150386215
A2C_mod,EASY,50,logits,14,inventory_SKU8,inventory,8,0.0001523955135056834
A2C_mod,EASY,50,logits,15,inventory_SKU7,inventory,7,0.00014841435617756103
A2C_mod,EASY,50,logits,16,inventory_SKU9,inventory,9,0.00014484068581386143
A2C_mod,EASY,50,logits,17,inventory_SKU11,inventory,11,0.00013885752254483012
A2C_mod,EASY,50,logits,18,inventory_SKU6,inventory,6,0.0001385650974057724
A2C_mod,EASY,50,logits,19,inventory_SKU14,inventory,14,0.00013847623697846656
A2C_mod,EASY,50,logits,20,inventory_SKU13,inventory,13,0.00012340091556988148
A2C_mod,HARD,10,logits,1,sales_SKU155,sales,155,0.000617669409990803
A2C_mod,HARD,10,logits,2,sales_SKU64,sales,64,0.000573203802323183
A2C_mod,HARD,10,logits,3,sales_SKU163,sales,163,0.0005607695460534549
A2C_mod,HARD,10,logits,4,sales_SKU46,sales,46,0.0005423931390217781
A2C_mod,HARD,10,logits,5,sales_SKU118,sales,118,0.0004003747472743233
A2C_mod,HARD,10,logits,6,sales_SKU215,sales,215,0.00028242246093908367
A2C_mod,HARD,10,logits,7,sales_SKU43,sales,43,0.00021760300357939727
A2C_mod,HARD,10,logits,8,sales_SKU100,sales,100,0.0001916304080017308
A2C_mod,HARD,10,logits,9,waste_feat_SKU167,waste_feat,167,0.00016469393658649032
A2C_mod,HARD,10,logits,10,inventory_SKU47,inventory,47,0.00016237197052963295
A2C_mod,HARD,10,logits,11,inventory_SKU5,inventory,5,0.00016027410743866437
A2C_mod,HARD,10,logits,12,sales_SKU211,sales,211,0.0001575080110303967
A2C_mod,HARD,10,logits,13,waste_feat_SKU23,waste_feat,23,0.00015295328139450698
A2C_mod,HARD,10,logits,14,inventory_SKU23,inventory,23,0.00014328295953650714
A2C_mod,HARD,10,logits,15,sales_SKU156,sales,156,0.00013680640601860738
A2C_mod,HARD,10,logits,16,inventory_SKU8,inventory,8,0.00013293097259015383
A2C_mod,HARD,10,logits,17,inventory_SKU4,inventory,4,0.00013192458103301785
A2C_mod,HARD,10,logits,18,waste_feat_SKU212,waste_feat,212,0.00012503922428038663
A2C_mod,HARD,10,logits,19,inventory_SKU167,inventory,167,0.00010571119894185339
A2C_mod,HARD,10,logits,20,waste_feat_SKU218,waste_feat,218,8.114501536829444e-05
A2C_mod,HARD,20,logits,1,sales_SKU163,sales,163,0.0005814579077115749
A2C_mod,HARD,20,logits,2,sales_SKU64,sales,64,0.0005776497675385659
A2C_mod,HARD,20,logits,3,sales_SKU155,sales,155,0.000564535627667676
A2C_mod,HARD,20,logits,4,sales_SKU46,sales,46,0.0005134529207004879
A2C_mod,HARD,20,logits,5,sales_SKU118,sales,118,0.000427994130930087
A2C_mod,HARD,20,logits,6,sales_SKU215,sales,215,0.0002824925474050451
A2C_mod,HARD,20,logits,7,sales_SKU43,sales,43,0.00019093154275037321
A2C_mod,HARD,20,logits,8,sales_SKU100,sales,100,0.00017162894280893886
A2C_mod,HARD,20,logits,9,inventory_SKU167,inventory,167,0.0001512692737950714
A2C_mod,HARD,20,logits,10,inventory_SKU5,inventory,5,0.00014970702603559743
A2C_mod,HARD,20,logits,11,waste_feat_SKU218,waste_feat,218,0.0001442640527840262
A2C_mod,HARD,20,logits,12,sales_SKU156,sales,156,0.00013604093152771605
A2C_mod,HARD,20,logits,13,inventory_SKU23,inventory,23,0.00012820272226057207
A2C_mod,HARD,20,logits,14,waste_feat_SKU212,waste_feat,212,0.00012326086556734844
A2C_mod,HARD,20,logits,15,waste_feat_SKU23,waste_feat,23,0.00012121805315231899
A2C_mod,HARD,20,logits,16,inventory_SKU8,inventory,8,0.0001181935187334219
A2C_mod,HARD,20,logits,17,sales_SKU211,sales,211,0.0001161049461548376
A2C_mod,HARD,20,logits,18,inventory_SKU47,inventory,47,0.0001137900424747088
A2C_mod,HARD,20,logits,19,waste_feat_SKU167,waste_feat,167,0.00011022632148246955
A2C_mod,HARD,20,logits,20,inventory_SKU4,inventory,4,0.00010213481516811867
A2C_mod,HARD,50,logits,1,sales_SKU155,sales,155,0.0005791231879233858
A2C_mod,HARD,50,logits,2,sales_SKU64,sales,64,0.0005775030423320072
A2C_mod,HARD,50,logits,3,sales_SKU163,sales,163,0.0005690977571004771
A2C_mod,HARD,50,logits,4,sales_SKU46,sales,46,0.0004962291264998389
A2C_mod,HARD,50,logits,5,sales_SKU118,sales,118,0.0003875608897385653
A2C_mod,HARD,50,logits,6,sales_SKU215,sales,215,0.000281805962921053
A2C_mod,HARD,50,logits,7,sales_SKU43,sales,43,0.00021250110091961135
A2C_mod,HARD,50,logits,8,sales_SKU100,sales,100,0.00017200427839856995
A2C_mod,HARD,50,logits,9,waste_feat_SKU23,waste_feat,23,0.00016662753865337858
A2C_mod,HARD,50,logits,10,waste_feat_SKU218,waste_feat,218,0.00015847804861588875
A2C_mod,HARD,50,logits,11,waste_feat_SKU167,waste_feat,167,0.00015508931650608232
A2C_mod,HARD,50,logits,12,inventory_SKU4,inventory,4,0.00015273292433538478
A2C_mod,HARD,50,logits,13,sales_SKU156,sales,156,0.0001457152769064839
