Agent,Scenario,Pair,k,Jaccard,Spearman,RBO_p09
DQN,EASY,10-20,20,1.0,0.97,0.803
DQN,EASY,20-50,20,1.0,0.97,0.829
DQN,EASY,10-50,20,1.0,0.97,0.831
DQN,MEDIUM,10-20,20,1.0,0.97,0.817
DQN,MEDIUM,20-50,20,1.0,0.97,0.82
DQN,MEDIUM,10-50,20,1.0,0.97,0.822
DQN,HARD,10-20,20,1.0,0.97,0.791
DQN,HARD,20-50,20,1.0,0.97,0.799
DQN,HARD,10-50,20,1.0,0.97,0.807
A2C_mod,EASY,10-20,20,1.0,0.88,0.728
A2C_mod,EASY,20-50,20,1.0,0.88,0.638
A2C_mod,EASY,10-50,20,1.0,0.88,0.735
A2C_mod,MEDIUM,10-20,20,1.0,0.88,0.685
A2C_mod,MEDIUM,20-50,20,1.0,0.88,0.67
A2C_mod,MEDIUM,10-50,20,1.0,0.88,0.66
A2C_mod,HARD,10-20,20,1.0,0.88,0.676
A2C_mod,HARD,20-50,20,1.0,0.88,0.679
A2C_mod,HARD,10-50,20,1.0,0.88,0.824
