global_step,experience_step,rewards,stockouts,waste,delta,critic_loss,entropy_adjusted,actor_loss
13728,32,0.04599395766854286,0.25727739930152893,0.007928090170025826,-0.047549426555633545,0.057355474680662155,5.348854756448418e-06,3.903856850229204e-06
13729,32,0.06474710255861282,0.3369006812572479,0.004373467061668634,-0.0005132082151249051,0.05806855484843254,2.3914408302516676e-06,1.097222025236988e-06
13730,32,0.007658463437110186,0.34417808055877686,0.0043462845496833324,-0.054945044219493866,0.06248121336102486,4.851116045756498e-06,3.2356922474718885e-06
13731,32,0.018657658249139786,0.3172089159488678,0.004674829076975584,-0.05671916529536247,0.05823763087391853,5.5574614634679165e-06,4.180335508863209e-06
13732,32,0.008416090160608292,0.34118151664733887,0.004331117030233145,-0.07330001890659332,0.06569656729698181,6.861183010187233e-06,3.8948019209783524e-06
13733,32,-0.012135091237723827,0.31678083539009094,0.004979652818292379,-0.08400525152683258,0.06456588208675385,2.9011312108195852e-06,2.187284735555295e-06
13734,32,0.01813986711204052,0.31506848335266113,0.00470529031008482,-0.04779199883341789,0.060706451535224915,3.254245712014381e-06,8.731659590921481e-07
13735,32,0.029483076184988022,0.3000856041908264,0.0044807009398937225,-0.04639739170670509,0.058470483869314194,2.8208924049977213e-06,1.1547034546310897e-06
13736,32,0.08006449788808823,0.2662671208381653,0.00509576266631484,-0.00074087327811867,0.05626021325588226,6.191223292262293e-06,2.3036004677123856e-06
13737,32,0.0579594187438488,0.2281678020954132,0.005550438072532415,-0.017757872119545937,0.04829314723610878,4.611654276232002e-06,2.190993654949125e-06
13738,32,0.019972097128629684,0.25128424167633057,0.005813670344650745,-0.04856322705745697,0.051349442452192307,3.8139285152283264e-06,8.865325753504294e-07
13739,32,0.060754887759685516,0.25513699650764465,0.0047926330007612705,-0.016019929200410843,0.05431785807013512,1.7639233647059882e-06,7.09774667484453e-07
13740,32,0.08968818932771683,0.22688356041908264,0.005226423032581806,0.009902059100568295,0.04394323378801346,3.6711869597638724e-06,1.6245786582658184e-06
13741,32,0.08306072652339935,0.20376712083816528,0.005490791983902454,0.017021842300891876,0.040423497557640076,2.4636185571580427e-06,6.975585051804956e-07
13742,32,0.12008455395698547,0.18493150174617767,0.00563863106071949,0.0502767488360405,0.038399599492549896,1.3972401120554423e-06,8.707237384442124e-07
13743,32,0.06477154046297073,0.17166095972061157,0.006214166525751352,-0.010841889306902885,0.038685835897922516,1.940933543664869e-06,1.0685582765290746e-06
13744,32,0.12166741490364075,0.10188356041908264,0.007801481988281012,0.04622761532664299,0.02387268655002117,1.0597916570986854e-06,8.758846661294228e-07
13745,32,0.025426430627703667,0.10102739930152893,0.008079578168690205,-0.04981178790330887,0.02571878954768181,1.2868356407125248e-06,1.7670423346771713e-07
13746,32,0.06899137049913406,0.11301369965076447,0.007740694563835859,-0.003951508551836014,0.025007016956806183,3.7614216807924095e-07,6.166283839093012e-08
13747,32,0.07529595494270325,0.1023116409778595,0.007580042816698551,0.0027425994630903006,0.023678602650761604,8.992906259663869e-07,4.79409550280252e-07
13748,32,0.10794822126626968,0.06292808055877686,0.008748825639486313,0.030234666541218758,0.015709659084677696,1.2794931762982742e-06,4.5532021886174334e-07
13749,32,0.09765277057886124,0.040667809545993805,0.009932837449014187,0.021929800510406494,0.012533610686659813,3.187732602327742e-07,2.673340304681915e-08
13750,32,0.11281178146600723,0.04109589010477066,0.010246709920465946,0.04078534618020058,0.012021607719361782,2.7611372388491873e-07,6.048888678833464e-08
13751,32,0.09328097850084305,0.015839040279388428,0.013306915760040283,0.01906961016356945,0.005244109779596329,4.913411257717604e-12,2.3652373484019834e-18
13752,32,0.17689211666584015,0.0051369862630963326,0.016295254230499268,0.1021723672747612,0.008564680814743042,5.3183750736707225e-08,1.8978395244229063e-10
13753,32,0.2606958746910095,0.00042808218859136105,0.017922593280673027,0.18441078066825867,0.018732573837041855,8.637851318043464e-21,7.070519056777944e-31
13754,32,0.34172114729881287,0.0021404109429568052,0.01942957378923893,0.2665915787220001,0.03760898485779762,3.7111458350835846e-10,1.6295900853767822e-14
13755,32,0.4044959843158722,0.0021404109429568052,0.020391859114170074,0.33024418354034424,0.05794205144047737,9.129715212996548e-13,2.9647329301333986e-20
13756,32,0.543502926826477,0.0,0.021367067471146584,0.46824970841407776,0.11264915019273758,1.935628054900164e-29,4.654548087024432e-31
13757,32,0.6595784425735474,0.0,0.021993035450577736,0.584844172000885,0.17365437746047974,1.1699208596856182e-21,3.9186545340735062e-31
13758,32,0.6488006711006165,0.00042808218859136105,0.021840505301952362,0.5728415250778198,0.16901400685310364,6.82972194491799e-15,3.0830490698324977e-27
13759,32,0.6843731999397278,0.0,0.022382784634828568,0.6075828075408936,0.18733863532543182,2.701596902811718e-18,4.325861999020388e-31
13760,8,0.7380629181861877,0.0,0.023128503933548927,0.6603565812110901,0.22001002728939056,-0.0,3.5042022623436366e-31
