agent,param,best_lambda,best_reward,baseline_reward
DQN,stockout_w,0.5,0.3647850988809729,0.36106936965832515
DQN,overstock_w,0.5,0.5919346985525437,0.36106936965832515
DQN,waste_rate,0.01,0.3754351625629213,0.36106936965832515
DQN,quantile_w,0.5,0.43398215692667735,0.36106936965832515
A2C_mod,stockout_w,2.0,0.382193215960075,0.38279584878020817
A2C_mod,overstock_w,0.5,0.3846834142736736,0.38279584878020817
A2C_mod,waste_rate,0.01,0.38728431255985346,0.38279584878020817
A2C_mod,quantile_w,0.5,0.684003474220397,0.38279584878020817
BaseStock,stockout_w,0.5,0.7719111926705827,0.7607459670287513
BaseStock,overstock_w,0.5,0.7607459670287513,0.7607459670287513
BaseStock,waste_rate,0.01,0.763904246590322,0.7607459670287513
BaseStock,quantile_w,0.5,0.8665758614975309,0.7607459670287513
