agent,config_name,varied_param,varied_value,base,stockout_w,overstock_w,waste_rate,quantile_w,avg_reward,service_level,stockout_rate,holding_cost,waste_cost,quantile
DQN,baseline,baseline,1.0,1.0,1.0,1.0,0.025,1.0,0.36106936965832515,0.9925685428038594,0.007431457196140573,0.4617306107714299,0.023942966300565454,0.14582558469366402
DQN,stockout_w=0.5,stockout_w,0.5,1.0,0.5,1.0,0.025,1.0,0.3647850988809729,0.9925685428038594,0.007431457196140573,0.4617306107714299,0.023942966300565454,0.14582558469366402
DQN,stockout_w=1.5,stockout_w,1.5,1.0,1.5,1.0,0.025,1.0,0.3573536412930855,0.9925685428038594,0.007431457196140573,0.4617306107714299,0.023942966300565454,0.14582558469366402
DQN,stockout_w=2.0,stockout_w,2.0,1.0,2.0,1.0,0.025,1.0,0.3536379136078592,0.9925685428038594,0.007431457196140573,0.4617306107714299,0.023942966300565454,0.14582558469366402
DQN,overstock_w=0.5,overstock_w,0.5,1.0,1.0,0.5,0.025,1.0,0.5919346985525437,0.9925685428038594,0.007431457196140573,0.4617306107714299,0.023942966300565454,0.14582558469366402
DQN,overstock_w=1.5,overstock_w,1.5,1.0,1.0,1.5,0.025,1.0,0.13020407297604142,0.9925685428038594,0.007431457196140573,0.4617306107714299,0.023942966300565454,0.14582558469366402
DQN,overstock_w=2.0,overstock_w,2.0,1.0,1.0,2.0,0.025,1.0,-0.10066122927569918,0.9925685428038594,0.007431457196140573,0.4617306107714299,0.023942966300565454,0.14582558469366402
DQN,waste_rate=0.01,waste_rate,0.01,1.0,1.0,1.0,0.01,1.0,0.3754351625629213,0.9925685428038594,0.007431457196140573,0.4617306107714299,0.009577184594014571,0.14582558469366402
DQN,waste_rate=0.05,waste_rate,0.05,1.0,1.0,1.0,0.05,1.0,0.33712641433590934,0.9925685428038594,0.007431457196140573,0.4617306107714299,0.04788593260113091,0.14582558469366402
DQN,waste_rate=0.1,waste_rate,0.1,1.0,1.0,1.0,0.1,1.0,0.28924050870248014,0.9925685428038594,0.007431457196140573,0.4617306107714299,0.09577186520226182,0.14582558469366402
DQN,quantile_w=0.5,quantile_w,0.5,1.0,1.0,1.0,0.025,0.5,0.43398215692667735,0.9925685428038594,0.007431457196140573,0.4617306107714299,0.023942966300565454,0.14582558469366402
DQN,quantile_w=1.5,quantile_w,1.5,1.0,1.0,1.0,0.025,1.5,0.28815657632159336,0.9925685428038594,0.007431457196140573,0.4617306107714299,0.023942966300565454,0.14582558469366402
DQN,quantile_w=2.0,quantile_w,2.0,1.0,1.0,1.0,0.025,2.0,0.2152437866960619,0.9925685428038594,0.007431457196140573,0.4617306107714299,0.023942966300565454,0.14582558469366402
A2C_mod,baseline,baseline,1.0,1.0,1.0,1.0,0.025,1.0,0.38279584878020817,0.9999729437238004,2.7056276199540923e-05,0.0009443341936174773,0.012734962560768639,0.6034978005898346
A2C_mod,stockout_w=0.5,stockout_w,0.5,1.0,0.5,1.0,0.025,1.0,0.3803014499800546,0.9999819624825337,1.8037517466360614e-05,0.000967413711807225,0.01280537713134277,0.6059167411795535
A2C_mod,stockout_w=1.5,stockout_w,1.5,1.0,1.5,1.0,0.025,1.0,0.379689025943951,0.9999819624825337,1.8037517466360614e-05,0.0009518100491768275,0.012735220721908032,0.6065968899436974
A2C_mod,stockout_w=2.0,stockout_w,2.0,1.0,2.0,1.0,0.025,1.0,0.382193215960075,0.9999729437238004,2.7056276199540923e-05,0.0009530313131043451,0.012743505471873851,0.6040561380408082
A2C_mod,overstock_w=0.5,overstock_w,0.5,1.0,1.0,0.5,0.025,1.0,0.3846834142736736,0.9999729437238004,2.7056276199540923e-05,0.000957834045473805,0.012721073974500455,0.6020895382030939
A2C_mod,overstock_w=1.5,overstock_w,1.5,1.0,1.0,1.5,0.025,1.0,0.37802027055018006,0.9999729437238004,2.7056276199540923e-05,0.0009392951005540655,0.012756214521470525,0.6077875173868729
A2C_mod,overstock_w=2.0,overstock_w,2.0,1.0,1.0,2.0,0.025,1.0,0.38258737030010376,0.9999819624825337,1.8037517466360614e-05,0.0009484913965905666,0.012765188725473034,0.602732422447852
A2C_mod,waste_rate=0.01,waste_rate,0.01,1.0,1.0,1.0,0.01,1.0,0.38728431255985346,0.9999639249650673,3.607503493272123e-05,0.0009495446670262893,0.0051060539904967065,0.6066240152399541
A2C_mod,waste_rate=0.05,waste_rate,0.05,1.0,1.0,1.0,0.05,1.0,0.36582977945605916,0.9999819624825337,1.8037517466360614e-05,0.0009473141761855148,0.025371298108929918,0.6078335713458409
A2C_mod,waste_rate=0.1,waste_rate,0.1,1.0,1.0,1.0,0.1,1.0,0.3421844677290037,0.9999729437238004,2.7056276199540923e-05,0.0009239203777832742,0.05029162071970484,0.6065729338317252
A2C_mod,quantile_w=0.5,quantile_w,0.5,1.0,1.0,1.0,0.025,0.5,0.684003474220397,0.9999819624825337,1.8037517466360614e-05,0.0009362447824767312,0.012743406051341149,0.6045976836422812
A2C_mod,quantile_w=1.5,quantile_w,1.5,1.0,1.0,1.0,0.025,1.5,0.08900560967745222,0.9999729437238004,2.7056276199540923e-05,0.0009408653549223619,0.012738614344954609,0.5981919030344762
A2C_mod,quantile_w=2.0,quantile_w,2.0,1.0,1.0,1.0,0.025,2.0,-0.22480458353704078,0.9999819624825337,1.8037517466360614e-05,0.0009401883700832962,0.012744549275671561,0.6055509072340403
BaseStock,baseline,baseline,1.0,1.0,1.0,1.0,0.025,1.0,0.7607459670287513,0.9776695528758749,0.02233044712412511,0.0,0.005263795503803219,0.2116597894590259
BaseStock,stockout_w=0.5,stockout_w,0.5,1.0,0.5,1.0,0.025,1.0,0.7719111926705827,0.9776695528758749,0.02233044712412511,0.0,0.005263795503803219,0.2116597894590259
BaseStock,stockout_w=1.5,stockout_w,1.5,1.0,1.5,1.0,0.025,1.0,0.7495807438408808,0.9776695528758749,0.02233044712412511,0.0,0.005263795503803219,0.2116597894590259
BaseStock,stockout_w=2.0,stockout_w,2.0,1.0,2.0,1.0,0.025,1.0,0.738415520712142,0.9776695528758749,0.02233044712412511,0.0,0.005263795503803219,0.2116597894590259
BaseStock,overstock_w=0.5,overstock_w,0.5,1.0,1.0,0.5,0.025,1.0,0.7607459670287513,0.9776695528758749,0.02233044712412511,0.0,0.005263795503803219,0.2116597894590259
