component,count,mean,std,min,p25,p50,p75,max,skew,kurtosis,zero_frac,split
z,220000,0.9931045174598694,0.08275209367275238,0.0,1.0,1.0,1.0,1.0,-11.917629215110342,140.02989800687033,0.006895454545454546,train
overstock,220000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,train
q,220000,7.018874021014199e-05,0.0009964914061129093,0.0,0.0,0.0,0.0,0.024755170568823814,16.49899262998772,296.080657826866,,train
quan,220000,0.00681725749745965,0.06999549269676208,0.0,0.0,0.0,0.0,0.8908774256706238,10.95124436792668,122.54072227900723,,train
reward,220000,8.00896577857202e-06,0.03849717974662781,-0.8908774256706238,0.0,0.0,0.0,0.9998795390129089,-2.203368027786214,261.2492067692004,,train
x,220000,0.002807549200952053,0.039859674870967865,0.0,0.0,0.0,0.0,0.990206778049469,16.498959092169862,296.0800078099703,,train
sales,220000,0.10032734274864197,0.13957595825195312,0.0,0.0,0.0357142873108387,0.1666666716337204,2.25,2.098994979455171,7.137114732258885,,train
z,110880,0.974963903427124,0.15623466670513153,0.0,1.0,1.0,1.0,1.0,-6.080132043300698,34.9680269874243,0.025036075036075037,test
overstock,110880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,test
q,110880,0.00022680676192976534,0.0017224474577233195,0.0,0.0,0.0,0.0,0.024755170568823814,8.916139962667831,86.24132264475836,,test
quan,110880,0.026410063728690147,0.12537552416324615,0.0,0.0,0.0,0.0,0.8857523202896118,5.22272922578332,27.326340602670452,,test
reward,110880,-0.001600795891135931,0.0972597673535347,-0.8846227526664734,0.0,0.0,0.0,0.9995258450508118,0.6184988337084115,42.42709724501997,,test
x,110880,0.00907227024435997,0.06889790296554565,0.0,0.0,0.0,0.0,0.990206778049469,8.916138952561987,86.24130458046761,,test
sales,110880,0.034094709903001785,0.06949371844530106,0.0,0.0,0.0,0.0416666679084301,1.25,2.9324207911801827,12.335329950975103,,test
