product_id,capacity_full,capacity_train_only,diff_abs,diff_pct
0,4.0,4.0,0.0,0.0
1,4.0,5.0,1.0,25.0
2,30.0,38.0,8.0,26.666668
3,76.0,99.0,23.0,30.263159
4,6.0,8.0,2.0,33.333336
5,18.0,21.0,3.0,16.666668
6,18.0,26.0,8.0,44.444447
7,14.0,18.0,4.0,28.57143
8,14.0,18.0,4.0,28.57143
9,18.0,22.0,4.0,22.222223
10,18.0,22.0,4.0,22.222223
11,4.0,5.0,1.0,25.0
12,9.0,11.0,2.0,22.222223
13,4.0,4.0,0.0,0.0
14,30.0,38.0,8.0,26.666668
15,4.0,5.0,1.0,25.0
16,5.0,6.0,1.0,20.0
17,73.0,93.0,20.0,27.39726
18,73.0,89.0,16.0,21.917809
19,7.0,6.0,1.0,14.285715
20,17.0,21.0,4.0,23.529411
21,72.0,90.0,18.0,25.0
22,72.0,95.0,23.0,31.944445
23,4.0,5.0,1.0,25.0
24,5.0,6.0,1.0,20.0
25,5.0,6.0,1.0,20.0
26,17.0,21.0,4.0,23.529411
27,71.0,94.0,23.0,32.394367
28,9.0,11.0,2.0,22.222223
29,29.0,38.0,9.0,31.034481
30,6.0,8.0,2.0,33.333336
31,17.0,23.0,6.0,35.294117
32,7.0,8.0,1.0,14.285715
33,12.0,14.0,2.0,16.666668
34,4.0,4.0,0.0,0.0
35,6.0,8.0,2.0,33.333336
36,5.0,6.0,1.0,20.0
37,12.0,15.0,3.0,25.0
38,69.0,84.0,15.0,21.73913
39,9.0,11.0,2.0,22.222223
40,8.0,10.0,2.0,25.0
41,21.0,25.0,4.0,19.047619
42,9.0,11.0,2.0,22.222223
43,28.0,33.0,5.0,17.857143
44,68.0,89.0,21.0,30.882353
45,21.0,26.0,5.0,23.809525
46,28.0,34.0,6.0,21.428572
47,4.0,6.0,2.0,50.0
48,11.0,15.0,4.0,36.363636
49,5.0,7.0,2.0,40.0
50,28.0,35.0,7.0,25.0
51,21.0,26.0,5.0,23.809525
52,4.0,5.0,1.0,25.0
53,11.0,14.0,3.0,27.272728
54,4.0,5.0,1.0,25.0
55,17.0,21.0,4.0,23.529411
56,10.0,13.0,3.0,30.000002
57,208.0,272.0,64.0,30.769232
58,65.0,81.0,16.0,24.615385
59,17.0,21.0,4.0,23.529411
60,6.0,7.0,1.0,16.666668
61,7.0,8.0,1.0,14.285715
62,39.0,48.0,9.0,23.076923
63,8.0,11.0,3.0,37.5
64,7.0,8.0,1.0,14.285715
65,39.0,49.0,10.0,25.641027
66,11.0,14.0,3.0,27.272728
67,10.0,12.0,2.0,20.0
68,8.0,10.0,2.0,25.0
69,10.0,13.0,3.0,30.000002
70,4.0,6.0,2.0,50.0
71,27.0,33.0,6.0,22.222223
72,6.0,7.0,1.0,16.666668
73,7.0,9.0,2.0,28.57143
74,21.0,27.0,6.0,28.57143
75,38.0,49.0,11.0,28.947369
76,7.0,8.0,1.0,14.285715
77,27.0,35.0,8.0,29.62963
78,5.0,6.0,1.0,20.0
79,21.0,25.0,4.0,19.047619
80,27.0,35.0,8.0,29.62963
81,165.0,208.0,43.0,26.060604
82,7.0,7.0,0.0,0.0
83,21.0,26.0,5.0,23.809525
84,4.0,5.0,1.0,25.0
85,61.0,78.0,17.0,27.868853
86,4.0,5.0,1.0,25.0
87,61.0,82.0,21.0,34.42623
88,26.0,33.0,7.0,26.923079
89,5.0,6.0,1.0,20.0
90,5.0,6.0,1.0,20.0
91,10.0,12.0,2.0,20.0
92,4.0,5.0,1.0,25.0
93,5.0,6.0,1.0,20.0
94,37.0,37.0,0.0,0.0
95,8.0,10.0,2.0,25.0
96,5.0,7.0,2.0,40.0
97,6.0,7.0,1.0,16.666668
98,20.0,26.0,6.0,30.000002
99,5.0,6.0,1.0,20.0
100,59.0,75.0,16.0,27.118645
101,20.0,27.0,7.0,35.0
102,13.0,16.0,3.0,23.076923
103,4.0,6.0,2.0,50.0
104,11.0,15.0,4.0,36.363636
105,4.0,5.0,1.0,25.0
106,13.0,17.0,4.0,30.769232
107,6.0,9.0,3.0,50.0
108,139.0,187.0,48.0,34.532375
109,36.0,46.0,10.0,27.777779
110,4.0,5.0,1.0,25.0
111,20.0,26.0,6.0,30.000002
112,4.0,5.0,1.0,25.0
113,8.0,11.0,3.0,37.5
114,58.0,76.0,18.0,31.034481
115,5.0,6.0,1.0,20.0
116,20.0,25.0,5.0,25.0
117,11.0,14.0,3.0,27.272728
118,8.0,11.0,3.0,37.5
119,128.0,158.0,30.0,23.4375
120,125.0,157.0,32.0,25.6
121,13.0,17.0,4.0,30.769232
122,5.0,6.0,1.0,20.0
123,25.0,32.0,7.0,28.0
124,4.0,6.0,2.0,50.0
125,8.0,10.0,2.0,25.0
126,7.0,10.0,3.0,42.857143
127,116.0,149.0,33.0,28.448275
128,6.0,7.0,1.0,16.666668
129,5.0,7.0,2.0,40.0
130,34.0,43.0,9.0,26.470589
131,11.0,15.0,4.0,36.363636
132,11.0,14.0,3.0,27.272728
133,11.0,14.0,3.0,27.272728
134,7.0,9.0,2.0,28.57143
135,8.0,11.0,3.0,37.5
136,11.0,14.0,3.0,27.272728
137,7.0,9.0,2.0,28.57143
138,6.0,8.0,2.0,33.333336
139,11.0,13.0,2.0,18.181818
140,5.0,6.0,1.0,20.0
141,7.0,9.0,2.0,28.57143
142,5.0,6.0,1.0,20.0
143,25.0,33.0,8.0,32.0
144,13.0,15.0,2.0,15.384616
145,108.0,137.0,29.0,26.85185
146,4.0,5.0,1.0,25.0
147,4.0,5.0,1.0,25.0
148,7.0,9.0,2.0,28.57143
149,4.0,5.0,1.0,25.0
150,9.0,12.0,3.0,33.333336
151,19.0,24.0,5.0,26.31579
152,13.0,16.0,3.0,23.076923
153,15.0,19.0,4.0,26.666668
154,19.0,24.0,5.0,26.31579
155,15.0,20.0,5.0,33.333336
156,12.0,16.0,4.0,33.333336
157,19.0,24.0,5.0,26.31579
158,6.0,7.0,1.0,16.666668
159,9.0,12.0,3.0,33.333336
160,15.0,19.0,4.0,26.666668
161,4.0,5.0,1.0,25.0
162,6.0,6.0,0.0,0.0
163,12.0,15.0,3.0,25.0
164,12.0,17.0,5.0,41.666664
165,33.0,42.0,9.0,27.272728
166,50.0,62.0,12.0,24.0
167,8.0,10.0,2.0,25.0
168,15.0,18.0,3.0,20.0
169,6.0,8.0,2.0,33.333336
170,8.0,10.0,2.0,25.0
171,6.0,7.0,1.0,16.666668
172,19.0,23.0,4.0,21.052631
173,15.0,19.0,4.0,26.666668
174,4.0,5.0,1.0,25.0
175,7.0,9.0,2.0,28.57143
176,5.0,6.0,1.0,20.0
177,48.0,60.0,12.0,25.0
178,4.0,5.0,1.0,25.0
179,5.0,6.0,1.0,20.0
180,7.0,9.0,2.0,28.57143
181,24.0,30.0,6.0,25.0
182,6.0,8.0,2.0,33.333336
183,8.0,9.0,1.0,12.5
184,23.0,30.0,7.0,30.434782
185,5.0,5.0,0.0,0.0
186,4.0,5.0,1.0,25.0
187,23.0,30.0,7.0,30.434782
188,7.0,9.0,2.0,28.57143
189,46.0,62.0,16.0,34.782608
190,8.0,10.0,2.0,25.0
191,12.0,15.0,3.0,25.0
192,4.0,5.0,1.0,25.0
193,31.0,39.0,8.0,25.80645
194,10.0,14.0,4.0,40.0
195,4.0,5.0,1.0,25.0
196,4.0,6.0,2.0,50.0
197,31.0,39.0,8.0,25.80645
198,5.0,7.0,2.0,40.0
199,4.0,6.0,2.0,50.0
200,5.0,6.0,1.0,20.0
201,9.0,12.0,3.0,33.333336
202,18.0,22.0,4.0,22.222223
203,4.0,6.0,2.0,50.0
204,5.0,6.0,1.0,20.0
205,45.0,57.0,12.0,26.666668
206,9.0,11.0,2.0,22.222223
207,4.0,6.0,2.0,50.0
208,31.0,36.0,5.0,16.129032
209,5.0,6.0,1.0,20.0
210,5.0,7.0,2.0,40.0
211,9.0,11.0,2.0,22.222223
212,15.0,19.0,4.0,26.666668
213,5.0,7.0,2.0,40.0
214,31.0,39.0,8.0,25.80645
215,81.0,105.0,24.0,29.62963
216,4.0,4.0,0.0,0.0
217,4.0,5.0,1.0,25.0
218,44.0,55.0,11.0,25.0
219,12.0,16.0,4.0,33.333336
