task,bg,size,strategy,agent,spearman,cosine,mean_abs_delta,fcs,elapsed_s
T40,syn_random_50,50,syn_random,A2C,1.0,0.9935706235389599,0.0040498489450308305,0.3333333333333333,0.37778687477111816
T40,syn_random_50,50,syn_random,DQN,1.0,0.9907783995638318,0.02837197437506669,0.0,0.9465203285217285
T40,syn_kmeans_50,50,syn_kmeans,A2C,1.0,0.9989068954409906,0.0014118572478647644,0.3333333333333333,0.4096074104309082
T40,syn_kmeans_50,50,syn_kmeans,DQN,1.0,0.9908973817311358,0.02827874106228793,0.0,0.899787187576294
T40,traj_random_50,50,traj_random,A2C,0.8660254037844387,2.33805427396994e-10,0.029047619047574965,0.0,0.07700085639953613
T40,traj_random_50,50,traj_random,DQN,0.8660254037844387,0.9832288150586204,0.02899433890264509,0.0,0.18502283096313477
T40,traj_kmeans_50,50,traj_kmeans,A2C,0.8660254037844387,2.33805427396994e-10,0.029047619047574965,0.0,0.07497668266296387
T40,traj_kmeans_50,50,traj_kmeans,DQN,0.8660254037844387,0.9832288150586204,0.02899433890264509,0.0,0.16499948501586914
T40,syn_random_100,100,syn_random,A2C,1.0,0.9999982175850988,0.0,0.6666666666666666,0.36672496795654297
T40,syn_random_100,100,syn_random,DQN,1.0,0.9939822697815192,0.028252912280856652,0.0,0.9179892539978027
T40,syn_kmeans_100,100,syn_kmeans,A2C,1.0,0.9999021754600491,0.0018412878914085792,0.6666666666666666,0.42754578590393066
T40,syn_kmeans_100,100,syn_kmeans,DQN,1.0,0.9923109757310976,0.028318322486847555,0.0,0.905592679977417
T40,traj_random_100,100,traj_random,A2C,0.8660254037844387,3.507081410538277e-10,0.029047619047574958,0.0,0.07000088691711426
T40,traj_random_100,100,traj_random,DQN,0.8660254037844387,0.9832288154258051,0.02899433887880323,0.0,0.14999890327453613
T40,traj_kmeans_100,100,traj_kmeans,A2C,0.8660254037844387,3.507081410538277e-10,0.029047619047574958,0.0,0.09599947929382324
T40,traj_kmeans_100,100,traj_kmeans,DQN,0.8660254037844387,0.9832288154230732,0.028994338878980622,0.0,0.16699934005737305
T40,syn_random_200,200,syn_random,A2C,1.0,0.9996055122761314,0.001108405528575195,0.6666666666666666,0.38068675994873047
T40,syn_random_200,200,syn_random,DQN,1.0,0.992866819129985,0.028260850290989865,0.0,1.028261661529541
T40,syn_kmeans_200,200,syn_kmeans,A2C,1.0,0.9996055123041062,0.0011084054836607972,0.6666666666666666,0.4719405174255371
T40,syn_kmeans_200,200,syn_kmeans,DQN,1.0,0.9928668169912402,0.028260850299934998,0.0,0.9652156829833984
T40,traj_random_200,200,traj_random,A2C,0.8660254037844387,3.507081410538277e-10,0.029047619047574958,0.0,0.08150458335876465
T40,traj_random_200,200,traj_random,DQN,0.8660254037844387,0.9832288165300895,0.02899433880710026,0.0,0.1659989356994629
T40,traj_kmeans_200,200,traj_kmeans,A2C,0.8660254037844387,3.507081410538277e-10,0.029047619047574958,0.0,0.07400107383728027
T40,traj_kmeans_200,200,traj_kmeans,DQN,0.8660254037844387,0.983228816529543,0.02899433880713574,0.0,0.21100711822509766
