task,bg,size,strategy,agent,spearman,cosine,mean_abs_delta,elapsed_s
T40,syn_random_50,50,syn_random,DQN,0.0048641082403655354,0.9486876177758405,6.338412455419758e-06,664.8893151283264
T40,syn_random_50,50,syn_random,A2C,-0.00982924541057557,0.95171694765403,1.3952643932985956e-05,68.93259692192078
T40,syn_kmeans_50,50,syn_kmeans,DQN,-0.06140950496343277,0.947606946720726,2.0709069649723222e-05,669.9505808353424
T40,syn_kmeans_50,50,syn_kmeans,A2C,-0.10785880592807204,0.9380125142181146,2.9490575053678575e-05,68.78814721107483
T40,traj_random_50,50,traj_random,DQN,0.05438494279850113,0.9483823578580002,8.521875762270429e-05,968.8125855922699
T40,traj_random_50,50,traj_random,A2C,0.06353275058035295,0.9438956472817528,8.709856798661998e-05,139.50184106826782
T40,traj_kmeans_50,50,traj_kmeans,DQN,0.01993955749157128,0.9483871366792658,8.521869212296058e-05,933.9022431373596
T40,traj_kmeans_50,50,traj_kmeans,A2C,0.03536721975659906,0.9432301287599064,8.709856797727651e-05,82.35521697998047
T40,syn_random_100,100,syn_random,DQN,1.0,1.0,0.0,0.0
T40,syn_random_100,100,syn_random,A2C,0.16707396847839626,0.993509613656827,8.775176069625625e-06,172.93053460121155
T40,syn_kmeans_100,100,syn_kmeans,DQN,0.03490371019389766,0.9449213480920551,1.1478428175403049e-05,1330.0580885410309
T40,syn_kmeans_100,100,syn_kmeans,A2C,-0.021701717495324915,0.9476969564006351,1.9661048718868306e-05,127.833242893219
T40,traj_random_100,100,traj_random,DQN,0.04581835339695944,0.9477177036776846,8.521831275810403e-05,1214.821699142456
T40,traj_random_100,100,traj_random,A2C,0.06767490693900588,0.9438814130282814,8.710328025294197e-05,125.86661505699158
T40,traj_kmeans_100,100,traj_kmeans,DQN,0.022578778775412322,0.9483819171743084,8.521827639991567e-05,1233.134156703949
T40,traj_kmeans_100,100,traj_kmeans,A2C,0.07414684597029769,0.9438814112954796,8.710328026469183e-05,141.82768273353577
T40,syn_random_200,200,syn_random,DQN,-0.04447197300908372,0.9434230978329273,5.428181643866353e-06,1233.465550661087
T40,syn_random_200,200,syn_random,A2C,0.008070822631755037,0.9374823831013778,1.3245787596659289e-05,124.63216257095337
T40,syn_kmeans_200,200,syn_kmeans,DQN,-0.04447197300908372,0.9434230978329273,5.428181643866353e-06,1579.1875166893005
T40,syn_kmeans_200,200,syn_kmeans,A2C,0.008070822631755037,0.9374823831013778,1.3245787596659289e-05,252.50336122512817
T40,traj_random_200,200,traj_random,DQN,0.09689372158327235,0.9477052156995157,8.521855037292333e-05,2198.896423816681
T40,traj_random_200,200,traj_random,A2C,0.007480172721800179,0.9419460987153683,8.710328026686414e-05,228.36557745933533
T40,traj_kmeans_200,200,traj_kmeans,DQN,-0.001970359839693915,0.9483887803556253,8.52130701670655e-05,1361.9721610546112
T40,traj_kmeans_200,200,traj_kmeans,A2C,0.08749836747777974,0.9432590736689312,8.70889489907992e-05,136.2624523639679
