Agent,Scenario,Strategy,k,mean_delta,std,meaningful_rate_1pct,threshold
DQN,EASY,MoRF,10,0.0022620778647251425,0.00043508518559061773,0.0,0.01
DQN,EASY,Random,10,-0.00016460739863759954,0.00025099324799848544,0.0,0.01
DQN,EASY,LeRF,10,-0.001143805601168424,0.00010806459664802444,0.0,0.01
DQN,MEDIUM,MoRF,10,0.0019596103415824473,0.0006129546566197728,0.0,0.01
DQN,MEDIUM,Random,10,-0.00010615408737066901,0.0002381041923604116,0.0,0.01
DQN,MEDIUM,LeRF,10,-0.0011901795957237483,8.159824006704816e-05,0.0,0.01
DQN,HARD,MoRF,10,0.0016647805151296779,0.000807145528196545,0.0,0.01
DQN,HARD,Random,10,-0.00021133559460849937,0.0002260071462271785,0.0,0.01
DQN,HARD,LeRF,10,-0.0012746557965874672,5.545618269300218e-05,0.0,0.01
A2C_mod,EASY,MoRF,10,0.003994449377059937,8.580883472118624e-05,0.0,0.01
A2C_mod,EASY,Random,10,0.0013498995701471963,0.0005360208241764501,0.0,0.01
A2C_mod,EASY,LeRF,10,-0.0021895027160644532,0.0005648804832679023,0.0,0.01
A2C_mod,MEDIUM,MoRF,10,0.003870424032211304,0.0002234247935048935,0.0,0.01
A2C_mod,MEDIUM,Random,10,0.0012095402081807455,0.0006010768738081592,0.0,0.01
A2C_mod,MEDIUM,LeRF,10,-3.0364990234375e-05,8.038665021335965e-05,0.0,0.01
A2C_mod,HARD,MoRF,10,0.0035821545124053956,0.0005919934285529396,0.0,0.01
A2C_mod,HARD,Random,10,0.000978763182957967,0.0006205881256064607,0.0,0.01
A2C_mod,HARD,LeRF,10,0.00031803488731384276,0.0004429910155138413,0.0,0.01
