action,pi,p_new,dist
0,0.0520389,0.047007901386642875,6
1,0.02168895,0.019723163944944173,5
2,0.033865802,0.03110587392662277,4
3,0.10642991,0.09939920792617614,3
4,0.019560779,0.018887820353535926,2
5,0.54119563,0.5775365518681695,1
6,0.030081801,0.02904688425094742,2
7,0.014327789,0.013381302612859532,3
8,0.05628896,0.05170163032863545,4
9,0.043712933,0.03975099881440976,5
10,0.012424994,0.011223774009830127,6
11,0.015783329,0.014189705889399737,7
12,0.022248827,0.019931078537235775,8
13,0.030351346,0.027114106150590674,9
